Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Season
104,Levi Colwill,eng ENG,DF,Chelsea,22-036,2003,27,27,2429,27.0,1,1,2,1,0,0,7,0,0.7,0.7,1.1,1.8,10,109,7,0.04,0.04,0.07,0.04,0.07,0.03,0.04,0.07,0.03,0.07,Matches,2024-2025
105,Lewis Cook,eng ENG,"MF,DF",Bournemouth,28-059,1997,29,27,2482,27.6,1,3,4,1,0,0,6,0,0.9,0.9,4.0,4.8,32,143,45,0.04,0.11,0.15,0.04,0.15,0.03,0.14,0.17,0.03,0.17,Matches,2024-2025
106,Maxwel Cornet,ci CIV,FW,Southampton,28-188,1996,2,1,72,0.8,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,1,0,5,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.20,0.20,Matches,2024-2025
107,Vladimír Coufal,cz CZE,DF,West Ham,32-224,1992,15,8,736,8.2,0,0,0,0,0,0,2,0,0.2,0.2,0.6,0.8,11,28,21,0.00,0.00,0.00,0.00,0.00,0.02,0.08,0.10,0.02,0.10,Matches,2024-2025
108,Woyo Coulibaly,fr FRA,DF,Leicester City,25-318,1999,4,1,109,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,4,3,2,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,2024-2025
109,Aaron Cresswell,eng ENG,DF,West Ham,35-109,1989,14,7,589,6.5,0,0,0,0,0,0,2,0,0.1,0.1,1.1,1.3,4,24,2,0.00,0.00,0.00,0.00,0.00,0.02,0.17,0.19,0.02,0.19,Matches,2024-2025
110,Marc Cucurella,es ESP,DF,Chelsea,26-255,1998,27,25,2254,25.0,4,1,5,4,0,0,8,1,2.2,2.2,1.7,3.9,29,90,95,0.16,0.04,0.20,0.16,0.20,0.09,0.07,0.15,0.09,0.15,Matches,2024-2025
111,Jorge Cuenca,es ESP,DF,Fulham,25-137,1999,6,3,259,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,9,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,2024-2025
112,Matheus Cunha,br BRA,"MF,FW",Wolves,25-311,1999,26,24,2143,23.8,13,4,17,13,0,0,3,0,6.7,6.7,6.6,13.4,92,112,137,0.55,0.17,0.71,0.55,0.71,0.28,0.28,0.56,0.28,0.56,Matches,2024-2025
113,Patson Daka,zm ZAM,"FW,MF",Leicester City,26-176,1998,17,4,542,6.0,1,0,1,1,0,0,0,0,0.8,0.8,0.0,0.8,5,8,27,0.17,0.00,0.17,0.17,0.17,0.13,0.00,0.13,0.13,0.13,Matches,2024-2025
114,Diogo Dalot,pt POR,DF,Manchester Utd,26-016,1999,29,29,2576,28.6,0,2,2,0,0,0,4,0,2.0,2.0,1.9,3.9,58,91,150,0.00,0.07,0.07,0.00,0.07,0.07,0.07,0.14,0.07,0.14,Matches,2024-2025
115,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,24-274,2000,30,26,2248,25.0,2,10,12,2,0,0,2,0,2.4,2.4,7.2,9.6,59,191,108,0.08,0.40,0.48,0.08,0.48,0.10,0.29,0.38,0.10,0.38,Matches,2024-2025
116,Danilo,br BRA,"MF,FW",Nott'ham Forest,23-339,2001,6,4,210,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,10,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2024-2025
117,Jayden Danns,eng ENG,MF,Liverpool,19-077,2006,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2024-2025
118,Kevin Danso,at AUT,DF,Tottenham,26-196,1998,4,4,347,3.9,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.4,2,7,0,0.00,0.00,0.00,0.00,0.00,0.09,0.01,0.10,0.09,0.10,Matches,2024-2025
119,Ben Davies,wls WAL,DF,Tottenham,31-344,1993,9,8,721,8.0,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.2,6,34,4,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches,2024-2025
120,Leif Davis,eng ENG,DF,Ipswich Town,25-081,2000,28,28,2461,27.3,1,2,3,1,0,0,5,0,0.9,0.9,4.3,5.2,47,55,117,0.04,0.07,0.11,0.04,0.11,0.03,0.16,0.19,0.03,0.19,Matches,2024-2025
121,Craig Dawson,eng ENG,DF,Wolves,34-332,1990,15,10,971,10.8,0,0,0,0,0,0,2,0,0.5,0.5,0.0,0.5,6,20,5,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches,2024-2025
122,Kevin De Bruyne,be BEL,MF,Manchester City,33-279,1991,20,12,1103,12.3,2,6,8,2,0,0,2,0,2.6,2.6,6.1,8.8,38,113,105,0.16,0.49,0.65,0.16,0.65,0.22,0.50,0.71,0.22,0.71,Matches,2024-2025
123,Liam Delap,eng ENG,FW,Ipswich Town,22-054,2003,29,28,2244,24.9,11,2,13,9,2,2,8,0,8.5,6.9,1.9,8.8,55,28,97,0.44,0.08,0.52,0.36,0.44,0.34,0.07,0.42,0.28,0.35,Matches,2024-2025
124,Sepp van den Berg,nl NED,DF,Brentford,23-104,2001,23,21,1866,20.7,0,0,0,0,0,0,1,0,0.8,0.8,0.2,1.0,7,54,26,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches,2024-2025
125,Justin Devenny,nir NIR,MF,Crystal Palace,21-174,2003,15,3,323,3.6,1,0,1,1,0,0,0,0,0.5,0.5,0.3,0.8,3,10,9,0.28,0.00,0.28,0.28,0.28,0.14,0.10,0.23,0.14,0.23,Matches,2024-2025
126,Kiernan Dewsbury-Hall,eng ENG,"MF,FW",Chelsea,26-209,1998,9,1,199,2.2,0,1,1,0,0,0,0,0,0.2,0.2,1.0,1.2,5,11,9,0.00,0.45,0.45,0.00,0.45,0.10,0.45,0.55,0.10,0.55,Matches,2024-2025
127,Amad Diallo,ci CIV,"FW,MF",Manchester Utd,22-266,2002,22,17,1594,17.7,6,6,12,6,0,0,3,0,4.1,4.1,3.9,8.0,92,53,159,0.34,0.34,0.68,0.34,0.68,0.23,0.22,0.45,0.23,0.45,Matches,2024-2025
128,Rúben Dias,pt POR,DF,Manchester City,27-324,1997,19,17,1551,17.2,0,0,0,0,0,0,3,0,1.3,1.3,0.3,1.5,30,97,6,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.09,0.07,0.09,Matches,2024-2025
129,Luis Díaz,co COL,FW,Liverpool,28-080,1997,29,23,1935,21.5,9,5,14,9,0,0,2,0,7.8,7.8,3.8,11.5,93,93,239,0.42,0.23,0.65,0.42,0.65,0.36,0.18,0.54,0.36,0.54,Matches,2024-2025
130,Tyler Dibling,eng ENG,"FW,MF",Southampton,19-022,2006,26,17,1550,17.2,2,0,2,2,0,0,6,0,2.4,2.4,1.4,3.8,60,54,80,0.12,0.00,0.12,0.12,0.12,0.14,0.08,0.22,0.14,0.22,Matches,2024-2025
131,Lucas Digne,fr FRA,DF,Aston Villa,31-257,1993,29,26,2151,23.9,0,4,4,0,0,0,3,0,0.8,0.8,4.1,4.9,21,51,135,0.00,0.17,0.17,0.00,0.17,0.03,0.17,0.21,0.03,0.21,Matches,2024-2025
132,Issa Diop,fr FRA,DF,Fulham,28-084,1997,21,15,1339,14.9,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,6,24,3,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.04,0.04,0.04,Matches,2024-2025
133,Axel Disasi,fr FRA,DF,Aston Villa,27-023,1998,5,4,370,4.1,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.4,8,12,5,0.00,0.00,0.00,0.00,0.00,0.02,0.09,0.11,0.02,0.11,Matches,2024-2025
134,Axel Disasi,fr FRA,DF,Chelsea,27-023,1998,6,4,364,4.0,1,0,1,1,0,0,1,0,0.3,0.3,0.1,0.4,6,16,2,0.25,0.00,0.25,0.25,0.25,0.07,0.02,0.09,0.07,0.09,Matches,2024-2025
135,Roman Dixon,eng ENG,DF,Everton,20-098,2004,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2024-2025
136,Nasser Djiga,bf BFA,DF,Wolves,22-139,2002,2,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2024-2025
137,Matt Doherty,ie IRL,DF,Wolves,33-077,1992,23,19,1700,18.9,2,1,3,2,0,0,6,0,1.0,1.0,1.5,2.5,28,71,39,0.11,0.05,0.16,0.11,0.16,0.05,0.08,0.13,0.05,0.13,Matches,2024-2025
138,Jeremy Doku,be BEL,"FW,MF",Manchester City,22-311,2002,21,14,1240,13.8,3,4,7,3,0,0,1,0,1.0,1.0,3.5,4.5,165,58,222,0.22,0.29,0.51,0.22,0.51,0.07,0.26,0.33,0.07,0.33,Matches,2024-2025
139,Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,26-279,1998,26,16,1420,15.8,0,0,0,0,0,0,8,0,1.3,1.3,1.1,2.4,11,54,20,0.00,0.00,0.00,0.00,0.00,0.08,0.07,0.15,0.08,0.15,Matches,2024-2025
140,Patrick Dorgu,dk DEN,DF,Manchester Utd,20-159,2004,4,4,312,3.5,0,0,0,0,0,0,1,1,0.3,0.3,0.3,0.7,17,13,38,0.00,0.00,0.00,0.00,0.00,0.09,0.10,0.19,0.09,0.19,Matches,2024-2025
141,Alfie Dorrington,eng ENG,DF,Tottenham,19-348,2005,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2024-2025
142,Abdoulaye Doucouré,ml MLI,MF,Everton,32-092,1993,26,25,2065,22.9,2,1,3,2,0,0,4,1,3.2,3.2,1.8,5.0,34,66,77,0.09,0.04,0.13,0.09,0.13,0.14,0.08,0.22,0.14,0.22,Matches,2024-2025
143,Cheick Doucouré,ml MLI,MF,Crystal Palace,25-085,2000,13,4,452,5.0,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,2,19,7,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches,2024-2025
144,Flynn Downes,eng ENG,MF,Southampton,26-073,1999,21,19,1611,17.9,1,0,1,1,0,0,10,0,0.6,0.6,0.9,1.5,21,56,26,0.06,0.00,0.06,0.06,0.06,0.03,0.05,0.08,0.03,0.08,Matches,2024-2025
145,Tommy Doyle,eng ENG,MF,Wolves,23-168,2001,24,3,488,5.4,0,1,1,0,0,0,1,0,0.6,0.6,0.5,1.1,6,40,4,0.00,0.18,0.18,0.00,0.18,0.10,0.09,0.20,0.10,0.20,Matches,2024-2025
146,Radu Drăgușin,ro ROU,DF,Tottenham,23-059,2002,16,14,1252,13.9,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,7,37,2,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches,2024-2025
147,Martin Dúbravka,sk SVK,GK,Newcastle Utd,36-078,1989,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2024-2025
148,Lewis Dunk,eng ENG,DF,Brighton,33-133,1991,20,18,1633,18.1,0,0,0,0,0,0,4,0,0.7,0.7,0.5,1.2,18,118,3,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.07,0.04,0.07,Matches,2024-2025
149,Jáder Durán,co COL,FW,Aston Villa,21-111,2003,20,4,638,7.1,7,0,7,7,0,0,3,1,4.9,4.9,0.2,5.1,7,13,44,0.99,0.00,0.99,0.99,0.99,0.69,0.03,0.71,0.69,0.71,Matches,2024-2025
150,Ederson,br BRA,GK,Manchester City,31-229,1993,20,20,1800,20.0,0,3,3,0,0,0,3,0,0.0,0.0,0.8,0.8,0,1,0,0.00,0.15,0.15,0.00,0.15,0.00,0.04,0.04,0.00,0.04,Matches,2024-2025
151,George Edmundson,eng ENG,DF,Ipswich Town,27-215,1997,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2024-2025
152,Odsonne Édouard,fr FRA,"MF,FW",Crystal Palace,27-077,1998,2,1,115,1.3,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,2,4,7,0.00,0.00,0.00,0.00,0.00,0.31,0.04,0.34,0.31,0.34,Matches,2024-2025
153,Odsonne Édouard,fr FRA,FW,Leicester City,27-077,1998,4,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.13,Matches,2024-2025
154,Samuel Edozie,eng ENG,"DF,FW",Southampton,22-065,2003,2,0,65,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,6,4,23,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.14,Matches,2024-2025
155,Ronnie Edwards,eng ENG,DF,Southampton,22-006,2003,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2024-2025
156,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,22-341,2002,30,24,1930,21.4,6,8,14,6,0,0,1,0,3.8,3.8,4.3,8.1,78,45,156,0.28,0.37,0.65,0.28,0.65,0.18,0.20,0.38,0.18,0.38,Matches,2024-2025
157,Harvey Elliott,eng ENG,"MF,FW",Liverpool,21-364,2003,11,0,128,1.4,0,1,1,0,0,0,0,0,0.2,0.2,0.8,1.0,7,17,14,0.00,0.70,0.70,0.00,0.70,0.14,0.54,0.68,0.14,0.68,Matches,2024-2025
158,Yunus Emre Konak,tr TUR,"FW,MF",Brentford,19-083,2006,7,0,31,0.3,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,2,1,0.00,0.00,0.00,0.00,0.00,0.44,0.00,0.44,0.44,0.44,Matches,2024-2025
159,Julio Enciso,py PAR,"MF,FW",Ipswich Town,21-070,2004,6,5,340,3.8,0,2,2,0,0,0,2,0,0.6,0.6,1.0,1.6,9,16,18,0.00,0.53,0.53,0.00,0.53,0.17,0.26,0.43,0.17,0.43,Matches,2024-2025
160,Julio Enciso,py PAR,"MF,FW",Brighton,21-070,2004,12,2,294,3.3,0,0,0,0,0,0,0,0,1.0,1.0,0.2,1.2,11,14,17,0.00,0.00,0.00,0.00,0.00,0.31,0.07,0.38,0.31,0.38,Matches,2024-2025
161,Wataru Endo,jp JPN,MF,Liverpool,32-053,1993,15,0,148,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,9,1,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,2024-2025
162,Christian Eriksen,dk DEN,MF,Manchester Utd,33-048,1992,17,9,813,9.0,0,1,1,0,0,0,3,0,0.2,0.2,2.4,2.5,8,41,23,0.00,0.11,0.11,0.00,0.11,0.02,0.26,0.28,0.02,0.28,Matches,2024-2025
163,Romain Esse,eng ENG,MF,Crystal Palace,19-325,2005,2,0,8,0.1,1,0,1,1,0,0,0,0,0.3,0.3,0.0,0.3,0,1,2,11.25,0.00,11.25,11.25,11.25,3.21,0.00,3.21,3.21,3.21,Matches,2024-2025
164,Pervis Estupiñán,ec ECU,DF,Brighton,27-072,1998,23,19,1782,19.8,1,1,2,1,0,0,3,0,0.7,0.7,1.9,2.5,45,81,92,0.05,0.05,0.10,0.05,0.10,0.03,0.09,0.13,0.03,0.13,Matches,2024-2025
165,Evanilson,br BRA,FW,Bournemouth,25-179,1999,23,20,1634,18.2,7,0,7,7,0,1,0,0,8.6,7.8,1.4,9.2,23,15,75,0.39,0.00,0.39,0.39,0.39,0.47,0.08,0.55,0.43,0.51,Matches,2024-2025
166,Jonny Evans,nir NIR,DF,Manchester Utd,37-090,1988,6,3,290,3.2,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,8,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,2024-2025
167,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,26-278,1998,25,23,2014,22.4,2,6,8,2,0,0,1,0,6.3,6.3,4.6,10.9,58,81,133,0.09,0.27,0.36,0.09,0.36,0.28,0.21,0.49,0.28,0.49,Matches,2024-2025
168,Łukasz Fabiański,pl POL,GK,West Ham,39-350,1985,13,12,1070,11.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2024-2025
169,Wout Faes,be BEL,DF,Leicester City,27-000,1998,27,23,2185,24.3,1,0,1,1,0,0,3,0,1.2,1.2,0.1,1.3,11,72,1,0.04,0.00,0.04,0.04,0.04,0.05,0.00,0.05,0.05,0.05,Matches,2024-2025
170,Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,21-026,2004,11,6,579,6.4,0,2,2,0,0,0,0,0,0.4,0.4,1.6,2.0,42,17,60,0.00,0.31,0.31,0.00,0.31,0.06,0.24,0.31,0.06,0.31,Matches,2024-2025
171,João Félix,pt POR,"FW,MF",Chelsea,25-144,1999,12,3,369,4.1,1,1,2,1,0,0,2,0,2.2,2.2,1.0,3.2,21,26,30,0.24,0.24,0.49,0.24,0.49,0.54,0.23,0.78,0.54,0.78,Matches,2024-2025
172,Evan Ferguson,ie IRL,FW,West Ham,20-166,2004,6,1,140,1.6,0,0,0,0,0,0,0,0,0.6,0.6,0.3,0.9,1,0,6,0.00,0.00,0.00,0.00,0.00,0.36,0.19,0.56,0.36,0.56,Matches,2024-2025
173,Evan Ferguson,ie IRL,FW,Brighton,20-166,2004,13,2,246,2.7,1,0,1,1,0,0,0,0,0.5,0.5,0.4,1.0,2,1,9,0.37,0.00,0.37,0.37,0.37,0.20,0.15,0.35,0.20,0.35,Matches,2024-2025
174,Bruno Fernandes,pt POR,MF,Manchester Utd,30-207,1994,29,29,2465,27.4,8,9,17,5,3,3,4,2,8.7,6.4,6.3,12.7,59,242,110,0.29,0.33,0.62,0.18,0.51,0.32,0.23,0.55,0.23,0.46,Matches,2024-2025
175,Mateus Fernandes,pt POR,MF,Southampton,20-267,2004,28,26,2231,24.8,1,3,4,1,0,0,7,0,3.3,3.3,2.1,5.4,65,114,81,0.04,0.12,0.16,0.04,0.16,0.13,0.08,0.22,0.13,0.22,Matches,2024-2025
176,Enzo Fernández,ar ARG,MF,Chelsea,24-076,2001,27,23,2141,23.8,4,5,9,4,0,0,6,0,4.4,4.4,5.1,9.5,42,157,85,0.17,0.21,0.38,0.17,0.38,0.19,0.21,0.40,0.19,0.40,Matches,2024-2025
177,Mark Flekken,nl NED,GK,Brentford,31-294,1993,29,29,2555,28.4,0,1,1,0,0,0,1,0,0.0,0.0,0.2,0.2,0,0,0,0.00,0.04,0.04,0.00,0.04,0.00,0.01,0.01,0.00,0.01,Matches,2024-2025
178,Phil Foden,eng ENG,"MF,FW",Manchester City,24-310,2000,24,18,1629,18.1,7,2,9,7,0,0,2,0,4.9,4.9,4.7,9.5,46,94,116,0.39,0.11,0.50,0.39,0.50,0.27,0.26,0.53,0.27,0.53,Matches,2024-2025
179,Wesley Fofana,fr FRA,DF,Chelsea,24-107,2000,14,14,1172,13.0,0,0,0,0,0,0,7,0,0.4,0.4,0.4,0.8,19,32,4,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.07,0.03,0.06,Matches,2024-2025
180,Carlos Forbs,pt POR,"MF,FW",Wolves,21-015,2004,9,1,237,2.6,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.2,9,8,28,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.07,0.05,0.07,Matches,2024-2025
181,Fraser Forster,eng ENG,GK,Tottenham,37-017,1988,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2024-2025
182,Matheus França,br BRA,DF,Crystal Palace,21-002,2004,1,0,15,0.2,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,1,2,2,6.00,0.00,6.00,6.00,6.00,0.49,0.00,0.49,0.49,0.49,Matches,2024-2025
183,Ryan Fraser,sct SCO,"FW,DF",Southampton,31-038,1994,8,4,306,3.4,0,0,0,0,0,0,0,1,0.0,0.0,0.1,0.1,10,8,18,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches,2024-2025
184,Niclas Füllkrug,de GER,FW,West Ham,32-053,1993,10,3,415,4.6,2,1,3,2,0,0,2,0,1.6,1.6,1.2,2.8,3,5,12,0.43,0.22,0.65,0.43,0.65,0.34,0.27,0.61,0.34,0.61,Matches,2024-2025
185,Cody Gakpo,nl NED,FW,Liverpool,25-331,1999,27,16,1416,15.7,8,3,11,8,0,0,4,0,6.0,6.0,3.5,9.4,38,44,212,0.51,0.19,0.70,0.51,0.70,0.38,0.22,0.60,0.38,0.60,Matches,2024-2025
186,Idrissa Gana Gueye,sn SEN,MF,Everton,35-189,1989,29,27,2357,26.2,0,3,3,0,0,0,6,0,1.0,1.0,1.5,2.5,18,110,20,0.00,0.11,0.11,0.00,0.11,0.04,0.06,0.09,0.04,0.09,Matches,2024-2025
187,Andrés García,es ESP,"DF,MF",Aston Villa,22-055,2003,5,4,267,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,22,12,19,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches,2024-2025
188,Alejandro Garnacho,ar ARG,"MF,FW",Manchester Utd,20-276,2004,29,18,1732,19.2,4,1,5,4,0,0,2,0,5.9,5.9,2.9,8.8,108,45,234,0.21,0.05,0.26,0.21,0.26,0.31,0.15,0.46,0.31,0.46,Matches,2024-2025
189,James Garner,eng ENG,"MF,DF",Everton,24-021,2001,13,10,938,10.4,0,1,1,0,0,0,3,0,0.1,0.1,1.1,1.3,7,27,17,0.00,0.10,0.10,0.00,0.10,0.01,0.11,0.12,0.01,0.12,Matches,2024-2025
190,Tyrique George,eng ENG,FW,Chelsea,19-058,2006,5,0,89,1.0,0,1,1,0,0,0,1,0,0.1,0.1,0.7,0.8,9,2,16,0.00,1.01,1.01,0.00,1.01,0.13,0.73,0.86,0.13,0.86,Matches,2024-2025
191,Morgan Gibbs-White,eng ENG,MF,Nott'ham Forest,25-066,2000,26,26,2108,23.4,5,7,12,5,0,0,8,1,4.0,4.0,4.3,8.3,58,129,104,0.21,0.30,0.51,0.21,0.51,0.17,0.18,0.35,0.17,0.35,Matches,2024-2025
192,Billy Gilmour,sct SCO,MF,Brighton,23-296,2001,2,1,98,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,11,2,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches,2024-2025
193,Ben Godfrey,eng ENG,DF,Ipswich Town,27-078,1998,2,2,108,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2024-2025
194,Martial Godo,eng ENG,FW,Fulham,22-020,2003,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2024-2025
195,João Gomes,br BRA,MF,Wolves,24-050,2001,28,28,2339,26.0,3,1,4,3,0,0,10,1,2.4,2.4,1.1,3.4,44,136,58,0.12,0.04,0.15,0.12,0.15,0.09,0.04,0.13,0.09,0.13,Matches,2024-2025
196,Rodrigo Gomes,pt POR,"DF,FW",Wolves,21-270,2003,17,6,569,6.3,1,0,1,1,0,0,0,0,0.4,0.4,0.7,1.1,17,22,57,0.16,0.00,0.16,0.16,0.16,0.06,0.11,0.17,0.06,0.17,Matches,2024-2025
197,Toti Gomes,pt POR,DF,Wolves,26-077,1999,23,22,1894,21.0,0,1,1,0,0,0,4,0,0.1,0.1,0.8,1.0,18,57,12,0.00,0.05,0.05,0.00,0.05,0.01,0.04,0.05,0.01,0.05,Matches,2024-2025
198,Diego Gómez,py PAR,MF,Brighton,22-007,2003,8,3,325,3.6,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.8,5,15,10,0.00,0.00,0.00,0.00,0.00,0.09,0.12,0.21,0.09,0.21,Matches,2024-2025
199,Joe Gomez,eng ENG,DF,Liverpool,27-315,1997,9,6,519,5.8,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,5,35,2,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08,Matches,2024-2025
200,Nicolás González,es ESP,MF,Manchester City,23-090,2002,6,6,480,5.3,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,5,32,8,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.06,0.04,0.06,Matches,2024-2025
201,Anthony Gordon,eng ENG,FW,Newcastle Utd,24-038,2001,26,25,2108,23.4,6,5,11,5,1,2,2,0,7.8,6.3,4.9,11.2,104,88,187,0.26,0.21,0.47,0.21,0.43,0.34,0.21,0.54,0.27,0.48,Matches,2024-2025
202,Ryan Gravenberch,nl NED,MF,Liverpool,22-322,2002,30,30,2561,28.5,0,2,2,0,0,0,5,0,0.9,0.9,2.8,3.7,55,144,48,0.00,0.07,0.07,0.00,0.07,0.03,0.10,0.13,0.03,0.13,Matches,2024-2025
203,Archie Gray,eng ENG,"DF,MF",Tottenham,19-022,2006,21,13,1245,13.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,4,27,7,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,2024-2025
204,Jack Grealish,eng ENG,"FW,MF",Manchester City,29-205,1995,17,7,699,7.8,1,1,2,1,0,0,3,0,1.2,1.2,1.8,3.1,68,52,118,0.13,0.13,0.26,0.13,0.26,0.16,0.23,0.39,0.16,0.39,Matches,2024-2025
205,Jacob Greaves,eng ENG,DF,Ipswich Town,24-203,2000,19,19,1665,18.5,1,0,1,1,0,0,4,0,1.2,1.2,0.0,1.3,6,48,4,0.05,0.00,0.05,0.05,0.05,0.07,0.00,0.07,0.07,0.07,Matches,2024-2025
206,Brajan Gruda,de GER,"FW,MF",Brighton,20-307,2004,14,6,470,5.2,0,1,1,0,0,0,0,0,0.3,0.3,0.6,0.9,15,15,44,0.00,0.19,0.19,0.00,0.19,0.06,0.12,0.18,0.06,0.18,Matches,2024-2025
207,Albert Grønbaek,dk DEN,"FW,MF",Southampton,23-315,2001,4,2,143,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,3,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08,Matches,2024-2025
